timestep,reward,length,violations,thrust,sfc,T4
44400,-16.158216,200,33,5394.275000000001,0.5908026546239853,2740.711669921875
44600,239.438719,200,1,5261.478125000001,0.5948813259601593,2740.45556640625
44800,190.799895,200,2,5053.0921875,0.5902288481593132,2739.79638671875
45000,176.040143,200,3,9248.5484375,0.7833567261695862,2756.052734375
45200,-188.310981,200,51,5048.4171875,0.5898930504918098,2739.775146484375
45400,191.281251,200,2,9713.7953125,0.7375269383192062,2766.02880859375
45600,226.370836,200,2,9851.4921875,0.7220461219549179,2769.42578125
45800,184.202973,200,3,5045.521875,0.5896783247590065,2739.76171875
46000,232.021468,200,2,5045.265625,0.5896589532494545,2739.760498046875
46200,-168.0068,200,56,5120.14375,0.5937209725379944,2740.0634765625
46400,-11.427352,200,27,5108.678125,0.5932853370904922,2740.022705078125
46600,-374.352429,200,88,5043.6171875,0.589534267783165,2739.752685546875
46800,-162.578627,200,54,10204.306250000001,0.6765872240066528,2779.126708984375
47000,-644.750645,200,128,10360.400000000001,0.648949146270752,2784.12109375
47200,54.235923,200,31,5102.762500000001,0.5930360779166222,2740.000732421875
47400,257.078241,200,0,10360.3984375,0.6489494442939758,2784.12109375
47600,223.408456,200,3,5043.7484375,0.5895446613430977,2739.75341796875
47800,-201.595542,200,63,5043.6125,0.5895340070128441,2739.752685546875
48000,226.295782,200,6,5043.6125,0.5895340070128441,2739.752685546875
48200,196.592482,200,2,10359.0078125,0.6492412835359573,2784.07373046875
48400,-366.091526,200,91,5043.614062500001,0.5895334854722023,2739.752685546875
48600,-30.186854,200,29,5043.6125,0.5895340070128441,2739.752685546875
48800,102.49703,200,16,10360.400000000001,0.648949146270752,2784.12109375
49000,252.181831,200,1,10359.8796875,0.6490585207939148,2784.103515625
49200,-21.373303,200,41,5043.668750000001,0.5895381420850754,2739.7529296875
49400,-15.793829,200,39,10360.400000000001,0.648949146270752,2784.12109375
49600,-332.854188,200,89,5043.614062500001,0.5895334854722023,2739.752685546875
49800,-329.550689,200,87,5043.614062500001,0.5895334854722023,2739.752685546875
50000,-53.762799,200,39,5066.8390625,0.5911418795585632,2739.85693359375
50200,124.186004,200,19,5067.1125,0.5911589041352272,2739.858154296875
50400,-114.273706,200,48,5043.610937500001,0.5895335227251053,2739.752685546875
50600,-184.092421,200,58,8189.1046875,0.8015536516904831,2744.894287109375
50800,-565.637066,200,111,10360.400000000001,0.648949146270752,2784.12109375
51000,-32.304505,200,24,10360.400000000001,0.648949146270752,2784.12109375
51200,-407.652195,200,86,5043.614062500001,0.5895336344838142,2739.752685546875
51400,251.105545,200,0,5043.6125,0.5895340070128441,2739.752685546875
51600,181.390625,200,3,5043.614062500001,0.5895334854722023,2739.752685546875
51800,-143.745816,200,53,5043.614062500001,0.5895334854722023,2739.752685546875
52000,-142.982447,200,52,5048.251562500001,0.5898810923099518,2739.774169921875
52200,-125.502089,200,49,5044.015625,0.5895641446113586,2739.754638671875
52400,-77.986133,200,43,5043.6125,0.5895333364605904,2739.752685546875
52600,223.440667,200,4,5043.614062500001,0.5895334854722023,2739.752685546875
52800,-53.101883,200,39,5043.614062500001,0.5895334854722023,2739.752685546875
53000,70.50849,200,26,5043.731250000001,0.5895433947443962,2739.75341796875
53200,242.779664,200,2,5045.3125,0.589662492275238,2739.7607421875
53400,46.507624,200,25,8455.4234375,0.8134347200393677,2746.078369140625
53600,-69.484651,200,49,5043.610937500001,0.5895335227251053,2739.752685546875
53800,-214.339942,200,63,5043.6125,0.5895333364605904,2739.752685546875
54000,80.97495,200,18,5043.6125,0.5895333364605904,2739.752685546875
54200,252.779342,200,0,5043.6625,0.5895375087857246,2739.7529296875
54400,-148.076862,200,47,10360.400000000001,0.648949146270752,2784.12109375
54600,-283.66616,200,81,8563.104687500001,0.8146858215332031,2746.85205078125
54800,23.917303,200,20,5043.645312500001,0.5895364657044411,2739.7529296875
55000,-45.422741,200,39,5043.64375,0.5895361304283142,2739.7529296875
55200,-207.661112,200,62,10360.3203125,0.6489656865596771,2784.118408203125
55400,-213.592734,200,57,10360.2890625,0.6489724665880203,2784.117431640625
55600,-81.419327,200,29,10360.400000000001,0.648949146270752,2784.12109375
55800,229.473178,200,2,5043.610937500001,0.5895335227251053,2739.752685546875
56000,-288.317644,200,82,9645.440625000001,0.7449229061603546,2764.4140625
56200,-197.24347,200,61,10090.706250000001,0.6926631927490234,2775.81787109375
56400,-208.69227,200,63,8481.1,0.813911184668541,2746.246826171875
